Job No,Date,(No column name),Weekday
1087256.02000,2017-08-12,6,7
1060173.01000,2017-07-14,5,4
1087727.01000,2017-08-09,3,2
1087824.01000,2017-08-09,3,2
1089142.01000,2017-08-10,4,3
1089309.01000,2017-08-10,4,3
1090502.01000,2017-08-11,5,4
1090546.01000,2017-08-11,5,4
1089082.01000,2017-08-10,4,3
1063062.01000,2017-07-18,2,1
1091985.01000,2017-08-12,6,5
1095363.01000,2017-08-16,3,2
1068612.00000,2017-07-20,4,5
1096657.01000,2017-08-17,4,3
1097249.03000,2017-08-15,2,3
1070655.01000,2017-07-25,2,1
1070727.01000,2017-07-25,2,1
1099329.01000,2017-08-19,6,5
1072546.01000,2017-07-26,3,2
1099152.00000,2017-08-17,4,3
1100725.01000,2017-08-20,7,1
1101172.01000,2017-08-22,2,1
1101828.01000,2017-08-20,7,1
1078277.01000,2017-08-01,2,1
1084110.01000,2017-08-05,6,5
1091766.01000,2017-08-12,6,5
1091995.01000,2017-08-12,6,5
1093767.01000,2017-08-15,2,1
1094928.01000,2017-08-18,5,7
1099417.01000,2017-08-19,6,5
1101082.01000,2017-08-22,2,1
1101111.01000,2017-08-22,2,1
1101836.01000,2017-08-20,7,1
1104793.01000,2017-08-22,2,3
1105660.01000,2017-08-25,5,4
1108717.01000,2017-08-29,2,1
1116334.01000,2017-09-05,2,1
1118641.01000,2017-09-04,1,2
1120787.01000,2017-09-08,5,4
1126944.01000,2017-09-14,4,3
1133430.01000,2017-09-20,3,2
1137215.01000,2017-09-23,6,5
1145603.01000,2017-09-30,6,5
1049744.01000,2017-07-05,3,2
1055491.01000,2017-07-11,2,1
1064906.01000,2017-07-19,3,2
1066181.01000,2017-07-20,4,3
1066949.01000,2017-07-20,4,3
1076474.01000,2017-07-29,6,5
1078309.01000,2017-08-01,2,1
1084198.01000,2017-08-05,6,5
1084198.02000,2017-08-05,6,5
1089113.01000,2017-08-10,4,3
1091739.01000,2017-08-12,6,5
1093554.01000,2017-08-15,2,1
1098092.01000,2017-08-18,5,4
1101143.01000,2017-08-22,2,1
1101830.01000,2017-08-20,7,1
1104319.01000,2017-08-24,4,3
1106722.00000,2017-08-23,3,4
1106903.01000,2017-08-26,6,5
1110354.01000,2017-08-26,6,5
1114272.00000,2017-08-30,3,4
1114471.01000,2017-09-02,6,5
1118078.01000,2017-09-06,3,2
1118106.01000,2017-09-06,3,2
1104256.01000,2017-08-24,4,3
1106721.00000,2017-08-23,3,4
1106930.01000,2017-08-26,6,5
1106973.01000,2017-08-26,6,5
1108313.04000,2017-09-01,5,3
1103061.00000,2017-08-22,2,4
1104225.01000,2017-08-24,4,3
1105634.01000,2017-08-25,5,4
1105677.01000,2017-08-25,5,4
1110555.01000,2017-08-30,3,2
1143516.01000,2017-09-29,5,4
1121839.00000,2017-09-06,3,4
1106956.01000,2017-08-26,6,5
1122048.01000,2017-09-09,6,5
1122074.01000,2017-09-09,6,5
1122079.01000,2017-09-09,6,5
1122091.01000,2017-09-09,6,5
1108777.01000,2017-08-29,2,1
1122664.01000,2017-09-07,4,5
1154262.01000,2017-10-10,2,1
1154444.00000,2017-10-09,1,3
1156007.01000,2017-10-11,3,2
1156044.01000,2017-10-11,3,2
1133233.01000,2017-09-20,3,2
1141916.00000,2017-09-26,2,1
1144786.01000,2017-09-30,6,5
